Minutes,Seconds,Milliseconds,Message
27,29,944,0.000 0.015 0.375 0.000>
27,34,300,0.032 0.025 0.333 0.000>
27,35,27,~
27,39,370,0.000 0.043 0.360 0.000>
27,40,108,0.010 0.000 0.298 0.000>
27,44,494,0.000 0.025 0.340 0.000>
27,49,596,~
27,54,668,0.000 0.102 0.428 0.000>
27,59,725,0.000 0.007 0.338 0.000>
28,4,776,0.002 0.075 0.360 0.000>
28,9,827,0.027 0.005 0.415 0.000>
28,14,870,0.013 0.065 0.377 0.000>
28,19,245,0.000 0.072 0.262 0.000>
28,19,971,0.000 0.055 0.375 0.000>
28,24,341,0.070 0.032 0.305 0.000>
28,25,84,0.157 0.043 0.445 0.060>
28,29,451,0.000 0.172 0.275 0.075>
28,30,169,0.030 0.043 0.335 0.000>
28,34,547,0.010 0.125 0.380 0.040>
28,39,581,0.087 0.000 0.440 0.123>
28,44,640,0.000 0.108 0.515 0.000>
28,49,740,0.130 0.000 0.405 0.000>
28,54,834,0.018 0.135 0.447 0.000>
28,59,921,0.015 0.023 0.357 0.000>
29,4,292,0.093 0.108 0.417 0.007>
29,5,17,0.020 0.072 0.407 0.002>
29,9,338,0.085 0.002 0.522 0.000>
29,10,77,0.000 0.035 0.360 0.000>
29,14,484,0.000 0.110 0.472 0.000>
29,19,589,0.025 0.070 0.475 0.000>
29,24,645,0.000 0.005 0.292 0.000>
29,29,727,0.000 0.000 0.455 0.000>
29,34,819,~
29,39,919,0.040 0.000 0.500 0.000>
29,44,873,0.123 0.063 0.370 0.038>
29,49,218,0.000 0.038 0.345 0.000>
29,49,958,0.000 0.000 0.468 0.025>
29,54,312,0.200 0.105 0.322 0.000>
29,55,59,0.023 0.043 0.257 0.000>
29,59,413,~
30,0,131,0.010 0.020 0.642 0.072>
30,4,469,~
30,5,198,0.000 0.020 0.412 0.060>
30,9,502,0.038 0.105 0.382 0.068>
30,14,572,0.000 0.025 0.377 0.000>
30,19,629,0.000 0.025 0.375 0.000>
30,24,686,0.000 0.083 0.543 0.097>
30,29,759,~
30,34,810,0.000 0.000 0.365 0.000>
30,39,863,0.000 0.013 0.400 0.000>
30,44,921,0.000 0.045 0.377 0.000>
30,49,281,0.000 0.047 0.357 0.000>
30,50,7,0.000 0.068 0.373 0.010>
30,54,394,0.000 0.038 0.433 0.000>
30,55,134,0.000 0.000 0.347 0.000>
30,59,490,0.000 0.085 0.382 0.000>
31,0,205,0.000 0.005 0.477 0.000>
31,4,563,0.013 0.065 0.340 0.000>
31,9,594,0.000 0.138 0.252 0.000>
31,14,695,0.002 0.043 0.375 0.000>
31,19,751,0.027 0.060 0.313 0.000>
31,24,808,0.025 0.058 0.380 0.000>
31,29,853,0.000 0.060 0.330 0.000>
31,34,899,0.002 0.000 0.315 0.000>
31,39,230,0.132 0.083 0.322 0.070>
31,39,955,0.000 0.023 0.365 0.000>
31,44,299,0.157 0.005 0.243 0.000>
31,45,15,~
31,49,247,~
31,49,973,0.020 0.050 0.350 0.000>
31,54,314,0.013 0.000 0.130 0.000>
31,55,53,0.043 0.015 0.313 0.000>
31,59,405,0.002 0.135 0.477 0.000>
32,0,125,~
32,4,465,0.000 0.078 0.520 0.000>
32,5,195,~
32,9,507,~
32,14,578,~
32,19,623,0.110 0.105 0.423 0.000>
32,24,677,0.198 0.023 0.233 0.000>
32,29,745,0.000 0.127 0.440 0.000>
32,34,814,0.000 0.095 0.350 0.000>
32,39,897,0.023 0.072 0.420 0.030>
32,44,236,0.000 0.068 0.368 0.000>
32,44,951,~
32,49,297,0.000 0.032 0.360 0.000>
32,50,35,0.000 0.078 0.338 0.000>
32,54,377,0.213 0.132 0.222 0.000>
32,55,115,0.060 0.162 0.425 0.000>
32,59,454,0.020 0.095 0.320 0.043>
33,0,168,0.047 0.038 0.423 0.000>
33,4,504,0.087 0.000 0.295 0.007>
33,9,574,0.000 0.093 0.587 0.000>
33,14,631,0.000 0.060 0.495 0.000>
33,19,686,0.243 0.000 0.210 0.080>
33,24,741,0.000 0.005 0.390 0.000>
33,29,827,0.000 0.095 0.438 0.000>
33,34,891,0.000 0.002 0.395 0.000>
33,39,227,0.000 0.000 0.398 0.000>
33,39,952,0.000 0.005 0.445 0.000>
33,44,352,0.002 0.025 0.435 0.000>
33,45,84,0.000 0.117 0.447 0.020>
33,49,437,0.000 0.183 0.340 0.000>
33,50,162,0.043 0.000 0.375 0.087>
33,54,496,0.000 0.060 0.440 0.000>
33,59,575,0.080 0.093 0.300 0.063>
34,4,628,0.000 0.185 0.347 0.002>
34,9,671,0.040 0.125 0.265 0.015>
34,14,727,0.000 0.097 0.268 0.018>
34,19,782,0.002 0.045 0.400 0.000>
34,24,854,0.000 0.000 0.500 0.000>
34,29,224,0.000 0.023 0.360 0.000>
34,29,938,0.032 0.000 0.575 0.000>
34,34,276,0.000 0.035 0.373 0.000>
34,35,15,0.093 0.000 0.390 0.000>
34,39,346,0.000 0.010 0.475 0.000>
34,40,71,0.030 0.038 0.403 0.000>
34,44,311,0.000 0.120 0.442 0.000>
34,45,25,0.065 0.000 0.535 0.000>
34,49,351,0.000 0.025 0.370 0.000>
34,50,76,0.000 0.000 0.333 0.000>
34,54,418,0.043 0.203 0.475 0.007>
34,55,163,0.000 0.000 0.398 0.018>
34,59,513,0.000 0.045 0.340 0.000>
35,4,565,0.002 0.055 0.385 0.000>
35,9,602,0.043 0.058 0.398 0.000>
35,14,649,0.000 0.047 0.375 0.000>
35,19,702,0.043 0.045 0.365 0.000>
35,24,828,0.000 0.248 0.275 0.063<0.000 0.248 0.275 0.063>
35,29,912,~
35,34,229,0.055 0.153 0.520 0.020>
35,34,956,~
35,39,285,0.000 0.000 0.412 0.002>
35,40,10,0.078 0.045 0.407 0.000>
35,44,366,0.000 0.093 0.390 0.000>
35,45,79,0.000 0.058 0.538 0.000>
35,49,408,0.000 0.000 0.120 0.000>
35,50,133,0.072 0.065 0.368 0.000>
35,54,437,0.252 0.165 0.472 0.000>
35,59,398,0.000 0.142 0.450 0.000>
36,0,113,0.032 0.200 0.200 0.045>
36,4,445,~
36,5,177,0.000 0.000 0.428 0.000>
36,9,481,~
36,14,555,0.023 0.050 0.493 0.013>
36,19,612,0.087 0.000 0.290 0.013>
36,24,671,0.000 0.065 0.470 0.023>
36,29,756,0.032 0.060 0.340 0.000>
36,34,817,~
36,39,873,0.080 0.065 0.350 0.000>
36,44,923,0.000 0.070 0.333 0.000>
36,49,241,0.050 0.025 0.292 0.080>
36,49,967,0.112 0.013 0.393 0.000>
36,54,321,0.010 0.142 0.482 0.005>
36,55,64,0.125 0.142 0.447 0.000>
36,59,416,0.055 0.060 0.412 0.000>
37,0,134,0.000 0.050 0.548 0.090>
37,4,476,0.000 0.052 0.220 0.038>
37,5,205,0.000 0.078 0.490 0.023>
37,9,516,~
37,14,578,0.013 0.000 0.450 0.030>
37,19,631,0.025 0.025 0.330 0.000>
37,24,675,0.045 0.120 0.450 0.000>
37,29,763,~
37,34,818,0.000 0.080 0.395 0.030>
37,39,879,0.125 0.000 0.477 0.013>
37,44,222,0.038 0.030 0.390 0.013>
37,44,938,~
37,49,254,0.000 0.000 0.458 0.000>
37,49,980,0.043 0.055 0.352 0.000>
37,54,333,0.000 0.030 0.400 0.000>
37,55,77,0.117 0.162 0.245 0.000>
37,59,436,0.000 0.063 0.345 0.000>
38,0,153,0.070 0.100 0.270 0.005>
38,4,493,0.000 0.000 0.438 0.000>
38,9,518,0.108 0.050 0.442 0.078>
38,14,583,0.000 0.058 0.438 0.000>
38,19,638,0.000 0.013 0.425 0.000>
38,24,688,0.000 0.147 0.385 0.000>
38,29,738,0.030 0.005 0.385 0.000>
38,34,790,0.000 0.058 0.330 0.032>
38,39,844,0.000 0.007 0.447 0.020>
38,44,899,0.005 0.135 0.380 0.000>
38,49,217,0.000 0.000 0.527 0.000>
38,49,943,~
38,54,297,0.000 0.035 0.248 0.002>
38,55,36,0.085 0.155 0.468 0.015>
38,59,393,~
39,0,106,0.127 0.007 0.340 0.043>
39,4,439,0.000 0.045 0.228 0.000>
39,5,163,0.010 0.000 0.535 0.000>
39,9,472,0.020 0.138 0.555 0.000>
39,10,197,0.010 0.000 0.530 0.000>
39,14,538,0.000 0.063 0.627 0.020>
39,19,592,~
39,24,633,0.000 0.000 0.385 0.000>
39,29,731,0.000 0.275 0.445 0.000>
39,34,788,~
39,39,845,0.110 0.055 0.335 0.000>
39,44,902,0.000 0.000 0.370 0.000>
39,49,224,0.000 0.078 0.347 0.005>
39,49,949,0.015 0.157 0.415 0.000>
39,54,297,0.020 0.155 0.515 0.120>
39,55,36,0.015 0.060 0.273 0.000>
39,59,391,0.000 0.000 0.450 0.105>
40,0,104,0.000 0.010 0.452 0.000>
40,4,429,0.000 0.085 0.305 0.000>
40,5,153,0.000 0.047 0.415 0.000>
40,9,457,~
40,10,186,0.000 0.058 0.398 0.002>
40,14,524,0.000 0.000 0.660 0.000>
40,19,581,0.080 0.117 0.445 0.030>
40,24,623,0.000 0.250 0.567 0.000>
