P1,P2,OBC,Comms
0.02,0.095,0.32,0.043
0.047,0.038,0.423,0.0
0.087,0.0,0.295,0.007
0.0,0.093,0.587,0.0
0.0,0.06,0.495,0.0
0.243,0.0,0.21,0.08
0.0,0.005,0.39,0.0
0.0,0.095,0.438,0.0
0.0,0.002,0.395,0.0
0.0,0.0,0.398,0.0
0.0,0.005,0.445,0.0
0.002,0.025,0.435,0.0
0.0,0.117,0.447,0.02
0.0,0.183,0.34,0.0
0.043,0.0,0.375,0.087
0.0,0.06,0.44,0.0
0.08,0.093,0.3,0.063
0.0,0.185,0.347,0.002
0.04,0.125,0.265,0.015
0.0,0.097,0.268,0.018
0.002,0.045,0.4,0.0
0.0,0.0,0.5,0.0
0.0,0.023,0.36,0.0
0.032,0.0,0.575,0.0
0.0,0.035,0.373,0.0
0.093,0.0,0.39,0.0
0.0,0.01,0.475,0.0
0.03,0.038,0.403,0.0
0.0,0.12,0.442,0.0
0.065,0.0,0.535,0.0
0.0,0.025,0.37,0.0
0.0,0.0,0.333,0.0
0.043,0.203,0.475,0.007
0.0,0.0,0.398,0.018
0.0,0.045,0.34,0.0
0.002,0.055,0.385,0.0
0.043,0.058,0.398,0.0
0.0,0.047,0.375,0.0
0.043,0.045,0.365,0.0
0.055,0.153,0.52,0.02
0.0,0.0,0.412,0.002
0.078,0.045,0.407,0.0
0.0,0.093,0.39,0.0
0.0,0.058,0.538,0.0
0.0,0.0,0.12,0.0
0.072,0.065,0.368,0.0
0.252,0.165,0.472,0.0
0.0,0.142,0.45,0.0
0.032,0.2,0.2,0.045
0.0,0.0,0.428,0.0
0.023,0.05,0.493,0.013
0.087,0.0,0.29,0.013
0.0,0.065,0.47,0.023
0.032,0.06,0.34,0.0
0.08,0.065,0.35,0.0
0.0,0.07,0.333,0.0
0.05,0.025,0.292,0.08
0.112,0.013,0.393,0.0
0.01,0.142,0.482,0.005
0.125,0.142,0.447,0.0
0.055,0.06,0.412,0.0
0.0,0.05,0.548,0.09
0.0,0.052,0.22,0.038
0.0,0.078,0.49,0.023
0.013,0.0,0.45,0.03
0.025,0.025,0.33,0.0
0.045,0.12,0.45,0.0
0.0,0.08,0.395,0.03
0.125,0.0,0.477,0.013
0.038,0.03,0.39,0.013
0.0,0.0,0.458,0.0
0.043,0.055,0.352,0.0
0.0,0.03,0.4,0.0
0.117,0.162,0.245,0.0
0.0,0.063,0.345,0.0
0.07,0.1,0.27,0.005
0.0,0.0,0.438,0.0
0.108,0.05,0.442,0.078
0.0,0.058,0.438,0.0
0.0,0.013,0.425,0.0
0.0,0.147,0.385,0.0
0.03,0.005,0.385,0.0
0.0,0.058,0.33,0.032
0.0,0.007,0.447,0.02
0.005,0.135,0.38,0.0
0.0,0.0,0.527,0.0
0.0,0.035,0.248,0.002
0.085,0.155,0.468,0.015
0.127,0.007,0.34,0.043
0.0,0.045,0.228,0.0
0.01,0.0,0.535,0.0
0.02,0.138,0.555,0.0
0.01,0.0,0.53,0.0
0.0,0.063,0.627,0.02
0.0,0.0,0.385,0.0
0.0,0.275,0.445,0.0
0.11,0.055,0.335,0.0
0.0,0.0,0.37,0.0
0.0,0.078,0.347,0.005
0.015,0.157,0.415,0.0
0.02,0.155,0.515,0.12
0.015,0.06,0.273,0.0
0.0,0.0,0.45,0.105
0.0,0.01,0.452,0.0
0.0,0.085,0.305,0.0
0.0,0.047,0.415,0.0
0.0,0.058,0.398,0.002
0.0,0.0,0.66,0.0
0.08,0.117,0.445,0.03
0.0,0.25,0.567,0.0
0.168,0.0,0.257,0.0
0.043,0.055,0.385,0.045
0.0,0.162,0.327,0.0
0.045,0.035,0.235,0.0
0.0,0.19,0.355,0.03
0.0,0.087,0.28,0.0
0.0,0.132,0.31,0.038
0.0,0.055,0.363,0.0
0.0,0.115,0.398,0.0
0.123,0.0,0.32,0.0
0.0,0.072,0.407,0.0
0.0,0.218,0.228,0.0
0.0,0.0,0.475,0.0
0.007,0.052,0.433,0.0
0.132,0.03,0.48,0.0
0.0,0.007,0.527,0.0
0.0,0.0,0.452,0.0
0.0,0.15,0.43,0.0
0.043,0.05,0.348,0.0
0.0,0.0,0.24,0.0
0.0,0.0,0.28,0.027
0.007,0.102,0.3,0.025
0.027,0.147,0.27,0.002
0.0,0.025,0.393,0.0
0.087,0.068,0.428,0.027
0.0,0.09,0.352,0.0
0.0,0.0,0.545,0.0
0.0,0.018,0.458,0.0
0.085,0.0,0.39,0.0
0.002,0.058,0.335,0.047
0.072,0.0,0.395,0.0
0.0,0.0,0.237,0.055
0.162,0.0,0.36,0.085
0.0,0.135,0.292,0.0
0.027,0.038,0.42,0.007
0.0,0.085,0.357,0.0
0.043,0.078,0.385,0.0
0.007,0.085,0.355,0.007
0.127,0.147,0.333,0.0
0.0,0.05,0.59,0.0
0.05,0.0,0.398,0.075
0.02,0.112,0.442,0.0
0.013,0.0,0.44,0.04
0.0,0.078,0.4,0.0
0.0,0.0,0.505,0.095
0.023,0.0,0.433,0.027
0.112,0.145,0.407,0.0
0.0,0.0,0.363,0.023
0.01,0.058,0.49,0.0
0.0,0.115,0.39,0.0
0.162,0.15,0.395,0.0
0.002,0.023,0.455,0.035
0.0,0.02,0.428,0.0
0.02,0.035,0.368,0.0
0.013,0.055,0.382,0.0
0.07,0.08,0.4,0.0
0.0,0.078,0.463,0.0
0.01,0.018,0.428,0.0
0.0,0.205,0.438,0.0
0.002,0.047,0.368,0.0
0.002,0.108,0.28,0.03
0.027,0.135,0.347,0.0
0.023,0.078,0.347,0.015
0.138,0.0,0.38,0.0
0.063,0.0,0.45,0.0
0.032,0.075,0.417,0.005
0.038,0.0,0.407,0.07
0.01,0.023,0.343,0.0
0.117,0.087,0.393,0.013
0.15,0.06,0.455,0.0
0.027,0.058,0.375,0.063
0.04,0.117,0.525,0.0
0.0,0.027,0.303,0.035
0.068,0.023,0.325,0.032
0.0,0.02,0.46,0.02
0.0,0.0,0.452,0.018
0.097,0.08,0.425,0.0
0.0,0.115,0.393,0.0
0.0,0.03,0.4,0.007
0.08,0.015,0.445,0.06
0.11,0.105,0.433,0.0
0.078,0.027,0.472,0.0
0.02,0.063,0.335,0.0
0.0,0.043,0.39,0.013
0.0,0.03,0.387,0.0
0.0,0.0,0.493,0.068
0.108,0.002,0.35,0.0
0.005,0.0,0.365,0.0
0.0,0.0,0.445,0.0
0.0,0.038,0.47,0.0
0.0,0.002,0.385,0.0
0.03,0.058,0.502,0.0
0.02,0.023,0.387,0.0
0.0,0.12,0.507,0.0
0.0,0.117,0.438,0.108
0.0,0.0,0.45,0.002
0.05,0.058,0.45,0.0
0.0,0.04,0.352,0.0
0.023,0.043,0.33,0.018
0.058,0.058,0.375,0.11
0.0,0.0,0.482,0.0
0.063,0.102,0.345,0.0
0.0,0.063,0.423,0.0
0.065,0.035,0.317,0.0
0.0,0.038,0.458,0.0
0.015,0.02,0.41,0.0
0.02,0.03,0.485,0.0
0.0,0.0,0.652,0.025
0.023,0.027,0.38,0.035
0.055,0.0,0.352,0.0
0.02,0.105,0.385,0.0
0.0,0.047,0.463,0.0
0.0,0.0,0.543,0.0
0.072,0.05,0.465,0.0
0.153,0.102,0.377,0.0
0.0,0.058,0.39,0.0
0.07,0.07,0.21,0.007
0.0,0.0,0.31,0.0
0.0,0.117,0.343,0.01
0.0,0.08,0.28,0.07
0.04,0.0,0.407,0.0
0.025,0.015,0.4,0.0
0.0,0.135,0.393,0.0
0.0,0.052,0.387,0.0
0.0,0.018,0.45,0.0
0.0,0.132,0.433,0.032
0.015,0.102,0.387,0.0
0.0,0.065,0.463,0.02
0.0,0.0,0.46,0.023
0.0,0.0,0.445,0.045
0.0,0.132,0.452,0.0
0.0,0.038,0.403,0.0
0.11,0.07,0.322,0.0
0.0,0.018,0.382,0.0
0.038,0.0,0.477,0.0
0.078,0.032,0.335,0.0
0.0,0.11,0.41,0.0
0.0,0.04,0.377,0.0
0.005,0.03,0.472,0.0
0.0,0.038,0.382,0.0
0.01,0.035,0.415,0.0
0.055,0.117,0.382,0.0
0.013,0.027,0.417,0.0
0.027,0.0,0.405,0.0
0.0,0.05,0.407,0.0
0.135,0.023,0.325,0.0
0.02,0.097,0.455,0.005
0.0,0.087,0.31,0.0
0.052,0.078,0.632,0.0
0.0,0.038,0.485,0.0
0.023,0.0,0.345,0.0
0.0,0.06,0.38,0.025
0.0,0.108,0.403,0.0
0.0,0.05,0.572,0.0
0.0,0.072,0.56,0.052
0.0,0.078,0.403,0.027
0.0,0.045,0.4,0.02
0.035,0.0,0.498,0.025
0.0,0.065,0.407,0.0
0.0,0.055,0.412,0.0
0.0,0.058,0.417,0.032
0.007,0.083,0.365,0.0
0.12,0.085,0.317,0.0
0.0,0.0,0.405,0.043
0.0,0.108,0.468,0.02
0.0,0.0,0.363,0.0
0.007,0.032,0.39,0.03
0.063,0.0,0.507,0.0
0.0,0.02,0.393,0.095
0.058,0.102,0.4,0.0
0.0,0.072,0.44,0.0
0.043,0.04,0.373,0.043
0.01,0.0,0.285,0.0
0.02,0.025,0.4,0.0
0.0,0.075,0.417,0.013
0.0,0.0,0.278,0.0
0.095,0.0,0.45,0.0
0.0,0.207,0.433,0.078
0.02,0.08,0.373,0.0
0.03,0.047,0.48,0.1
0.083,0.0,0.423,0.0
0.007,0.127,0.46,0.0
0.032,0.078,0.435,0.007
0.058,0.063,0.398,0.0
0.0,0.018,0.338,0.0
0.0,0.0,0.39,0.002
0.0,0.0,0.543,0.068
0.063,0.257,0.35,0.02
0.0,0.007,0.368,0.0
0.095,0.07,0.387,0.0
0.0,0.0,0.36,0.0
0.0,0.035,0.51,0.0
0.015,0.023,0.243,0.0
0.0,0.02,0.48,0.058
0.032,0.01,0.395,0.0
0.01,0.018,0.385,0.0
0.0,0.045,0.423,0.0
